,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
24,2010-05-03,5RPzPJCg4ER1LzQkorZ31p,Worakls,https://p.scdn.co/mp3-preview/505e0c50164be3ab08f9accae35b1a7774e19ca9?cid=142c36ced4ff4aa68d784c0db9923467,21U7dxtN7F14L2pMpFTzWT,415026,When The Birds Go In The Wrong Way,35,0.115,0.853,415027,0.67,21U7dxtN7F14L2pMpFTzWT,0.667,9,0.0872,-6.254,0,0.104,124.969,4,0.353
25,2012-02-08,0bMKf3lIYR9GaNTdFKkTOr,Zonderling,https://p.scdn.co/mp3-preview/15a109e432fa52ee8e876f5907c9fc7fe38136d5?cid=142c36ced4ff4aa68d784c0db9923467,5gUMY8QFQVMPPiHtIPpKfJ,449280,Sonderling - Original Mix,41,0.148,0.932,449280,0.573,5gUMY8QFQVMPPiHtIPpKfJ,0.672,0,0.101,-4.7,0,0.0411,124.996,4,0.495
26,2012-04-25,0iTjLBepeGaLgZS18kxgRq,Oliver Schories,https://p.scdn.co/mp3-preview/7be193557d132795257d6d6e71b9b58dc4d0ff69?cid=142c36ced4ff4aa68d784c0db9923467,6Tn0ytIuayunuAZ0A1WtuP,348481,I'm Not,34,0.061,0.706,348481,0.436,6Tn0ytIuayunuAZ0A1WtuP,0.463,7,0.0967,-14.327,0,0.0351,123.998,4,0.472
27,2012-06-21,2FckzIbgoJ36J6H9mBVDOP,Max Liese,https://p.scdn.co/mp3-preview/e670de4eb90673033f0d562559217ba114283052?cid=142c36ced4ff4aa68d784c0db9923467,0cer0NkSSc2fzZ00QS9QBW,414066,Sunstring,29,0.0119,0.638,414067,0.644,0cer0NkSSc2fzZ00QS9QBW,0.000815,7,0.0942,-12.992,0,0.0313,126.007,4,0.301
28,2012-02-29,4ZnZnqNlIMadbLWzurTTii,Monkeybrain,https://p.scdn.co/mp3-preview/6844b6959793af2c66fa8262e44eae75dc9c9b69?cid=142c36ced4ff4aa68d784c0db9923467,1v8KY4glc9B2hpkIA1xgiw,232147,Lirum Larum,30,0.691,0.672,232147,0.455,1v8KY4glc9B2hpkIA1xgiw,0.894,8,0.141,-12.395,1,0.0398,121.992,4,0.487
29,2004-08-23,5rZVjGkZZI4TnpMHQwrxfG,Nathan Fake,https://p.scdn.co/mp3-preview/88b9e3407707e6b6fddb84429b3fd995b94696a6?cid=142c36ced4ff4aa68d784c0db9923467,351LyEn9dxRxgkl28GwQtl,570586,The Sky Was Pink - Holden Remix,44,0.000263,0.786,570587,0.538,351LyEn9dxRxgkl28GwQtl,0.897,1,0.0818,-12.98,0,0.0599,123.961,3,0.0932
30,2012-04-30,5wxZKzbUtUBPjy33SvBO2o,Kreutzfeldt,https://p.scdn.co/mp3-preview/ea1e359227b0d1ee01b5b389e6da3dc183db2311?cid=142c36ced4ff4aa68d784c0db9923467,0jwiGQsMZd03vY2EMIkRWz,495548,Care About Me,1,0.000522,0.681,495548,0.611,0jwiGQsMZd03vY2EMIkRWz,0.788,5,0.1,-10.974,0,0.0383,116.02,4,0.0637
31,2000,3y1SoTOdrmRNTBVph5T0VZ,Laurent Garnier,https://p.scdn.co/mp3-preview/6821aee9139501541e7fbeb39a0046e796a07134?cid=142c36ced4ff4aa68d784c0db9923467,71Jxy7ToDvvb9sF40s7czN,215306,The Man With The Red Face,40,0.00489,0.656,215307,0.805,71Jxy7ToDvvb9sF40s7czN,0.933,3,0.119,-9.14,1,0.039,132.007,4,0.581
32,2012-04-28,2PrzSq4msunRnRmEHz4La6,David Rappl,https://p.scdn.co/mp3-preview/4f5f176b8f8a0a33b2092d054edf4c189ebd05f1?cid=142c36ced4ff4aa68d784c0db9923467,5EDaPf9T5XpI0wE8UP6VKE,402279,Windstille - Nico Pusch Mix,30,0.107,0.729,402280,0.274,5EDaPf9T5XpI0wE8UP6VKE,0.499,5,0.164,-13.373,0,0.0394,121.998,4,0.158
33,2011-03-04,623ecFS6T9xsx9Rb98eii5,Marc Romboy,https://p.scdn.co/mp3-preview/dd7e68e1e0c5ed001e391cd08d12ebc54e611f24?cid=142c36ced4ff4aa68d784c0db9923467,2umlM21FKMtjpuqrerNb5V,463922,Triton,24,0.143,0.788,463922,0.561,2umlM21FKMtjpuqrerNb5V,0.801,7,0.111,-13.916,1,0.0503,124.987,3,0.0427
