,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
24,2015-06-05,4sTQVOfp9vEMCemLw50sbu,Galantis,https://p.scdn.co/mp3-preview/bd49728a651135bf6c85f66841522fab76c18f8d?cid=142c36ced4ff4aa68d784c0db9923467,3lUmaVqVvSGXahObJ85qWc,266000,"Louder, Harder, Better",49,0.00138,0.55,266000,0.918,3lUmaVqVvSGXahObJ85qWc,3.87e-06,11,0.112,-3.161,0,0.0671,125.009,4,0.245
25,2015-06-16,1HxJeLhIuegM3KgvPn8sTa,Jack Ü,https://p.scdn.co/mp3-preview/22acb0cc2e36944ad0f5c686e1ac13e06f9af086?cid=142c36ced4ff4aa68d784c0db9923467,5ScMaEiUXf9BATTbDKNFq8,206197,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,61,0.00266,0.572,206197,0.863,5ScMaEiUXf9BATTbDKNFq8,0.000307,8,0.127,-4.128,1,0.0424,141.919,4,0.475
26,2015-04-17,0daugAjUgbJSqdlyYNwIbT,Vicetone,https://p.scdn.co/mp3-preview/7451b24781247b498eb5bb80a601d0a1722c09ad?cid=142c36ced4ff4aa68d784c0db9923467,0rCuRc07y6l1kPYj0JSRg5,214325,Angels - Radio Edit,54,0.0335,0.527,214326,0.845,0rCuRc07y6l1kPYj0JSRg5,0.000127,1,0.144,-3.721,0,0.121,128.023,4,0.554
27,2015-04-20,4j5KBTO4tk7up54ZirNGvK,NERVO,https://p.scdn.co/mp3-preview/307f049243a64c75889d286064181ec7027c76d3?cid=142c36ced4ff4aa68d784c0db9923467,4mldVEKGD3qrpnM84AeP83,256875,It Feels - KSHMR Remix,54,0.00784,0.638,256875,0.72,4mldVEKGD3qrpnM84AeP83,0.00219,5,0.101,-5.204,0,0.0413,127.996,4,0.316
28,2015-05-11,5nki7yRhxgM509M5ADlN1p,Oliver Heldens,https://p.scdn.co/mp3-preview/3a011b4675f19ddc3f8d5393f78b6fcc187dedd9?cid=142c36ced4ff4aa68d784c0db9923467,1PIxALuF3mgDQKra9M0ydi,290023,Melody,27,0.000796,0.526,290023,0.962,1PIxALuF3mgDQKra9M0ydi,0.92,10,0.797,-4.005,0,0.0463,126.015,4,0.305
29,2015-05-11,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,https://p.scdn.co/mp3-preview/1a2b39b50ff7d8ad2506d8bce7840b6a51029e6b?cid=142c36ced4ff4aa68d784c0db9923467,0gv9o9mPK1JQeZd3eMFdTa,238128,Lightning Strikes,49,0.0277,0.619,238128,0.979,0gv9o9mPK1JQeZd3eMFdTa,0.06,5,0.296,-6.194,0,0.108,130.009,4,0.13
30,2014-10-27,4sTQVOfp9vEMCemLw50sbu,Galantis,https://p.scdn.co/mp3-preview/600ff3e8590fe62515debbb608d35a2ffb5ec239?cid=142c36ced4ff4aa68d784c0db9923467,5EYmoAWIbrnrSMMkfHpJ2t,315338,Runaway (U & I) - Kaskade Remix,44,0.000939,0.625,315339,0.861,5EYmoAWIbrnrSMMkfHpJ2t,0.0579,10,0.271,-3.507,0,0.0569,125.963,4,0.447
31,2014-02-03,521qvhdobR0GzhvU6TFw76,Tritonal,https://p.scdn.co/mp3-preview/cbb9090ad4aaa4eb0c17b96f6267e12adc16e16b?cid=142c36ced4ff4aa68d784c0db9923467,3LQxo27aEIRGxAypPq9fFs,337500,Now Or Never - Estiva Vs. Juventa Remix,50,0.004,0.639,337500,0.775,3LQxo27aEIRGxAypPq9fFs,0.000409,9,0.15,-5.771,1,0.224,128.007,4,0.265
32,2014-11-10,7CajNmpbOovFoOoasH2HaY,Calvin Harris,https://p.scdn.co/mp3-preview/66c86fcc592979b337a73cc5d5c1e5d3e2a6d1b9?cid=142c36ced4ff4aa68d784c0db9923467,0ZdJ0MBlyrwvuLNtv3cbKM,260666,Blame (feat. John Newman) - R3HAB Club Remix,33,0.00897,0.684,260667,0.858,0ZdJ0MBlyrwvuLNtv3cbKM,0.0,0,0.376,-4.001,0,0.132,127.995,4,0.164
33,2014-08-05,1LOB7jTeEV14pHai6EXSzF,Cash Cash,https://p.scdn.co/mp3-preview/3c94f3bb9cfb70460abffa78cb46c89978d39d21?cid=142c36ced4ff4aa68d784c0db9923467,5nsYJnjVTjEspmtQx67T9S,354492,Lightning (feat. John Rzeznik) - EDX's Miami Sunset Remix,8,0.00329,0.669,354492,0.856,5nsYJnjVTjEspmtQx67T9S,0.000193,7,0.0725,-4.699,0,0.067,127.99,4,0.226
34,2014-06-30,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,https://p.scdn.co/mp3-preview/d75995bf85e148184588f9067c483a31f4d4a5ba?cid=142c36ced4ff4aa68d784c0db9923467,16SsiQFVS2ZyxqqF5OB7m8,203520,Lovers on the Sun (feat. Sam Martin),34,0.0932,0.645,203520,0.891,16SsiQFVS2ZyxqqF5OB7m8,3.88e-06,6,0.379,-2.505,0,0.0387,124.915,4,0.568
35,2014-11-03,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,https://p.scdn.co/mp3-preview/fc4c645ac64001f59ab2626ac110aa644bce9ade?cid=142c36ced4ff4aa68d784c0db9923467,0TMikJYXWuR5GMBSoTTCsz,277500,Dangerous (feat. Sam Martin) - Steve Aoki Remix,29,0.00277,0.683,277500,0.921,0TMikJYXWuR5GMBSoTTCsz,0.0166,9,0.336,-3.646,1,0.0978,127.957,4,0.354
36,2014-02-25,6BrvowZBreEkXzJQMpL174,Hardwell,https://p.scdn.co/mp3-preview/d1aaa9e76824ac976d602011c3bf4ea1cc01172e?cid=142c36ced4ff4aa68d784c0db9923467,5psk7Y6g9h3rd5StmZy2zy,323742,Dare You (feat. Matthew Koma) - Tiësto vs Twoloud Remix,22,0.0115,0.585,323742,0.714,5psk7Y6g9h3rd5StmZy2zy,0.886,4,0.132,-4.516,1,0.0464,127.984,4,0.453
37,2014-03-11,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,https://p.scdn.co/mp3-preview/a0b12770ed126d8590ba40b004da0753a6bfb017?cid=142c36ced4ff4aa68d784c0db9923467,40qjDdULzkFRlivTqTggLH,215088,Adore You - Remix,43,0.1,0.377,215088,0.904,40qjDdULzkFRlivTqTggLH,0.0527,9,0.318,-2.912,0,0.0821,127.796,4,0.473
38,2014-03-03,0Cd6nHYwecCNM1sVEXKlYr,Krewella,https://p.scdn.co/mp3-preview/0e5cb350f677489d501d2c05b0a8d191447c02a9?cid=142c36ced4ff4aa68d784c0db9923467,4FE0vkMbrzoX3POigHP3Rb,367520,Enjoy the Ride - Armin van Buuren Remix,27,0.00117,0.677,367520,0.876,4FE0vkMbrzoX3POigHP3Rb,0.0553,10,0.126,-5.931,0,0.0857,134.004,4,0.505
39,2014-02-10,03MVmfitJTVJIxYmObhQn9,Dyro,https://p.scdn.co/mp3-preview/c553d9e476416b30815fd861f3b5cd3982500b8d?cid=142c36ced4ff4aa68d784c0db9923467,2NwQTdkA7Youy4Q9Z8I4kZ,288764,Black Smoke - Original Mix,24,0.000149,0.574,288765,0.898,2NwQTdkA7Youy4Q9Z8I4kZ,0.901,7,0.195,-4.467,1,0.039,127.972,4,0.0378
40,2013-11-25,4GEIawzVZxWGdtl9OOdgeA,Jerome Isma-Ae,https://p.scdn.co/mp3-preview/586e5e27bd4537443eea853fa831a9de73483808?cid=142c36ced4ff4aa68d784c0db9923467,0vTYkqMV9OxYsX4uTLbhhs,255000,Awaken - Radio Edit,6,0.000323,0.66,255000,0.72,0vTYkqMV9OxYsX4uTLbhhs,0.938,2,0.153,-6.23,1,0.0545,127.984,4,0.0365
41,2014-01-13,0Xp3PoeuaiJubx3FJIZFDn,JoeySuki,https://p.scdn.co/mp3-preview/cfcd036e64c640d9f7fe3a4e8ecead1d82a469fb?cid=142c36ced4ff4aa68d784c0db9923467,4LhBbYaTDLqnTZBxQpYf60,341250,Life Is Calling - Original Mix,12,0.0154,0.566,341250,0.921,4LhBbYaTDLqnTZBxQpYf60,0.0875,10,0.0355,-3.561,1,0.0442,127.99,4,0.178
42,2013,6VD4UEUPvtsemqD3mmTqCR,Deorro,https://p.scdn.co/mp3-preview/ac30d56886f055c9143c21dd5863ec88fb93bf59?cid=142c36ced4ff4aa68d784c0db9923467,0kCui6p2K891UGQe8cOUbz,300000,Unspoiled Perfection,35,0.0139,0.649,300000,0.926,0kCui6p2K891UGQe8cOUbz,0.00638,5,0.0822,-2.778,0,0.0689,127.993,4,0.233
43,2013-12-10,1369EOxSlL69yV9Yp1nVaR,Hadouken!,https://p.scdn.co/mp3-preview/b3852ce95157906090df19bf36dfc18d878a5a36?cid=142c36ced4ff4aa68d784c0db9923467,2HjcoOOhOJyftnO49bOf3O,233773,Levitate - Starkillers Radio Mix,21,0.00071,0.625,233773,0.91,2HjcoOOhOJyftnO49bOf3O,0.00465,9,0.392,-3.404,1,0.0447,129.981,4,0.0901
44,2013,07EafuRJGR8zatcaf132UV,Goodwill,https://p.scdn.co/mp3-preview/d7bfb16d98261156ace6bac7a7a1f34312c4c719?cid=142c36ced4ff4aa68d784c0db9923467,32ZXrPjK9A2gPbp2wxTtJG,350486,Golden Times - Blinders Remix,9,0.00493,0.618,350486,0.809,32ZXrPjK9A2gPbp2wxTtJG,0.0125,2,0.103,-3.939,0,0.043,126.026,4,0.221
